Id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
22836,45, Federal-gov,232997, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States
22837,45, Self-emp-inc,145290, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
22838,45, Local-gov,257855, 11th,7, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, United-States
22839,20, Private,347530, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,0,25, United-States
22840,64, ?,178556, 10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,56, United-States
22841,45, Private,155659, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22842,45, Private,135044, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
22843,20, ?,193416, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States
22844,46, Private,65353, Some-college,10, Divorced, Transport-moving, Own-child, White, Male,3325,0,55, United-States
22845,26, Federal-gov,352768, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States
22846,28, Private,177119, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,80, ?
22847,60, Private,121127, 10th,6, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States
22848,31, Local-gov,206297, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
22849,19, Private,84747, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,24, United-States
22850,27, Private,57052, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2885,0,40, United-States
22851,62, Local-gov,291175, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,48, United-States
22852,49, Private,228583, HS-grad,9, Divorced, Other-service, Unmarried, White, Male,0,0,40, Columbia
22853,48, Private,125892, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Poland
22854,25, Private,154941, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
22855,25, State-gov,262664, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
22856,37, Private,162494, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
22857,81, ?,106765, Some-college,10, Widowed, ?, Unmarried, White, Female,0,0,4, United-States
22858,41, State-gov,227734, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,3464,0,40, United-States
22859,22, Private,283499, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States
22860,47, Self-emp-inc,186410, Prof-school,15, Never-married, Other-service, Not-in-family, White, Male,0,0,60, United-States
22861,36, Private,33887, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
22862,45, Private,278151, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
22863,24, Private,113466, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States
22864,23, Private,172047, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
22865,37, Private,355856, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia
22866,26, State-gov,28366, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
22867,39, Private,29814, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22868,47, Private,227310, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
22869,49, Private,139268, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
22870,63, Private,106023, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22871,18, Private,294253, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,27, United-States
22872,29, Private,152461, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,14344,0,50, United-States
22873,35, Private,336793, Bachelors,13, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States
22874,34, Private,24266, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States
22875,43, Private,110970, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States
22876,36, Private,188540, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
22877,63, Private,187635, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States
22878,35, Private,175614, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States
22879,42, Private,161510, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States
22880,43, Private,233130, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,20, United-States
22881,26, Local-gov,386949, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, United-States
22882,55, Private,104996, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States
22883,25, Private,47353, 10th,6, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States
22884,23, Private,217961, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States
22885,37, Self-emp-not-inc,326400, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States
22886,62, Private,109463, Some-college,10, Separated, Sales, Unmarried, White, Female,0,1617,33, United-States
22887,18, Private,236262, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States
22888,55, ?,103654, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,20, United-States
22889,36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
22890,27, ?,224421, Some-college,10, Divorced, ?, Own-child, White, Male,0,0,40, United-States
22891,24, Private,33088, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States
22892,40, Private,287008, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,55, Germany
22893,33, Private,93056, 7th-8th,4, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States
22894,47, Private,386136, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States
22895,20, ?,195767, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,40, United-States
22896,51, Self-emp-not-inc,149220, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,75, United-States
22897,47, Private,316101, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
22898,41, Private,112181, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,0,0,12, United-States
22899,38, Private,174717, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
22900,34, Local-gov,353270, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States
22901,52, Self-emp-not-inc,185407, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
22902,37, Self-emp-not-inc,137527, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,2559,60, United-States
22903,22, Private,85389, HS-grad,9, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States
22904,19, Private,129059, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,30, United-States
22905,31, Private,159187, HS-grad,9, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States
22906,24, Private,182276, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States
22907,20, ?,174461, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,5, United-States
22908,42, Private,87284, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,35, United-States
22909,45, Private,38950, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
22910,26, Private,31290, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
22911,26, Private,120238, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States
22912,31, Private,117526, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, United-States
22913,50, Private,268553, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States
22914,54, Private,155433, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States
22915,47, Private,163814, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22916,28, Private,36601, Some-college,10, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States
22917,68, Private,75913, 12th,8, Widowed, Sales, Not-in-family, White, Female,0,0,30, United-States
22918,48, Private,276664, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,50, United-States
22919,32, Private,191777, Masters,14, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States
22920,38, Private,204501, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
22921,46, Self-emp-inc,168796, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
22922,30, Self-emp-inc,127651, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,48, United-States
22923,90, Local-gov,187749, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,20, Philippines
22924,57, Private,141570, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1977,40, United-States
22925,35, Private,63021, Some-college,10, Divorced, Sales, Not-in-family, White, Female,0,0,35, United-States
22926,42, State-gov,160369, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
22927,54, Federal-gov,27432, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
22928,42, Private,152568, HS-grad,9, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States
22929,41, Private,46870, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
22930,47, State-gov,118447, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States
22931,18, Self-emp-not-inc,60981, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,4, United-States
22932,63, ?,247986, Prof-school,15, Married-civ-spouse, ?, Husband, White, Male,0,0,30, United-States
22933,21, Private,199419, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
22934,46, Private,99385, Bachelors,13, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
22935,72, ?,303588, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,20, United-States
22936,34, State-gov,318982, Masters,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1848,40, United-States
22937,47, Private,169092, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States
22938,59, Self-emp-not-inc,223131, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States
22939,59, Local-gov,171328, HS-grad,9, Separated, Protective-serv, Other-relative, Black, Female,0,2339,40, United-States
22940,46, Private,328216, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22941,62, Self-emp-inc,354075, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
22942,23, Private,140798, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
22943,47, Private,184005, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,3325,0,45, United-States
22944,46, Private,149949, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22945,50, Local-gov,226497, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,52, United-States
22946,43, Private,106760, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,50, Canada
22947,52, Self-emp-not-inc,40200, Some-college,10, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,35, United-States
22948,26, Private,152035, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
22949,30, Private,342709, HS-grad,9, Married-spouse-absent, Craft-repair, Other-relative, White, Male,0,0,40, United-States
22950,42, Private,126098, HS-grad,9, Separated, Craft-repair, Unmarried, Black, Female,0,0,40, United-States
22951,17, Private,184198, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,13, United-States
22952,29, Local-gov,205262, Some-college,10, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Ecuador
22953,40, Private,234633, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
22954,21, ?,124242, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States
22955,40, Private,272343, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
22956,68, Private,351711, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
22957,40, Private,289309, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,0,48, United-States
22958,23, Private,112819, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States
22959,52, Private,72743, HS-grad,9, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States
22960,63, Private,125954, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,2174,0,40, United-States
22961,51, Self-emp-inc,231230, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, United-States
22962,19, Private,195985, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States
22963,42, Self-emp-not-inc,29320, Prof-school,15, Divorced, Prof-specialty, Unmarried, White, Male,0,0,60, United-States
22964,26, Private,263200, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States
22965,50, Private,143953, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States
22966,41, Private,113555, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7298,0,50, United-States
22967,27, Federal-gov,38645, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
22968,45, Local-gov,348172, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,7298,0,40, United-States
22969,45, Private,138626, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White, Male,2174,0,50, United-States
22970,21, Private,170456, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,35, Italy
22971,54, Private,278329, HS-grad,9, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,0,0,43, United-States
22972,27, Private,193898, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,52, United-States
22973,57, Private,201991, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
22974,22, Private,341610, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,35, ?
22975,23, Federal-gov,41356, Assoc-acdm,12, Never-married, Exec-managerial, Unmarried, White, Female,0,0,32, United-States
22976,50, Private,266529, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22977,69, Private,203313, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,991,0,18, United-States
22978,59, ?,154236, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,7688,0,40, United-States
22979,23, Private,111450, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,22, United-States
22980,36, Private,297449, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,14084,0,40, United-States
22981,62, Private,232308, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
22982,45, Private,34419, Bachelors,13, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States
22983,27, Private,190525, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,55, United-States
22984,30, Private,175931, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22985,35, Local-gov,79649, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States
22986,58, Private,177368, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
22987,24, Private,464103, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States
22988,45, Local-gov,119199, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,0,0,48, United-States
22989,46, Private,42972, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,22, United-States
22990,28, Private,110981, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States
22991,20, Self-emp-not-inc,211466, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,80, United-States
22992,54, Private,175262, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
22993,25, Private,164488, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States
22994,55, Private,211678, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States
22995,60, Local-gov,124987, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States
22996,46, Local-gov,175754, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,1876,60, United-States
22997,21, Private,126613, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States
22998,51, Self-emp-not-inc,306784, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States
22999,28, Private,185957, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
23000,46, Private,116666, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
23001,62, Self-emp-inc,236096, HS-grad,9, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States
23002,43, Private,178780, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, United-States
23003,28, Federal-gov,183151, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States
23004,27, Private,108431, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States
23005,35, State-gov,318891, Assoc-acdm,12, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States
23006,30, Private,310889, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
23007,24, Private,329852, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
23008,56, Private,201344, Some-college,10, Widowed, Craft-repair, Unmarried, White, Female,0,0,38, United-States
23009,25, Private,125491, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,34, United-States
23010,38, Private,85074, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
23011,34, Private,242361, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, United-States
23012,40, Private,235371, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, United-States
23013,44, Private,124924, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico
23014,25, Private,189219, Bachelors,13, Never-married, Tech-support, Own-child, White, Female,0,0,16, United-States
23015,32, Private,209538, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
23016,17, Private,317702, 9th,5, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States
23017,54, Local-gov,54377, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
23018,66, Private,180211, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Philippines
23019,36, Private,207853, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States
23020,31, Private,222130, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,43, United-States
23021,23, Private,131275, HS-grad,9, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States
23022,33, Federal-gov,293550, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female,4064,0,40, United-States
23023,37, Private,105021, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
23024,30, Private,101859, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States
23025,81, ?,147097, Bachelors,13, Widowed, ?, Not-in-family, White, Male,0,0,5, United-States
23026,22, Private,496025, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico
23027,29, Private,383745, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1887,30, United-States
23028,28, Private,389713, HS-grad,9, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
23029,62, Local-gov,136787, HS-grad,9, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States
23030,27, Private,243569, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,3942,0,40, United-States
23031,31, Private,181091, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
23032,33, Private,62155, Some-college,10, Never-married, Sales, Not-in-family, Black, Male,0,0,35, United-States
23033,26, Private,224943, Assoc-voc,11, Never-married, Sales, Other-relative, Black, Male,0,0,65, United-States
23034,20, Private,227411, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States
23035,24, Private,190968, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States
23036,30, Private,188798, Some-college,10, Divorced, Other-service, Own-child, White, Female,0,0,20, United-States
23037,22, Private,267174, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States
23038,64, Federal-gov,388594, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, ?
23039,18, Private,268952, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States
23040,32, Private,211349, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
23041,41, Private,76625, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
23042,30, ?,157289, 11th,7, Never-married, ?, Unmarried, White, Male,0,0,40, United-States
23043,34, Private,176469, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,38, United-States
